AvgOrderValue,PurchaseFrequency,NumProductCategoriesShoppedIn,AvgDiscountUsed
22.4,10.17,3,0.139
58.54,3.67,2,0.344
22.22,1.08,1,0.017
204.79,1.32,3,0.06
27.34,2.65,2,0.289
31.63,12.1,3,0.168
144.82,1.78,2,0.052
14.52,14.49,3,0.081
37.19,12.21,3,0.105
16.81,1.46,1,0.019
23.92,1.13,1,0.003
143.76,3.31,2,0.099
15.32,2.86,2,0.429
195.84,2.33,2,0.006
140.1,1.52,2,0.025
201.64,2.03,1,0.044
62.44,3.98,2,0.275
176.13,2.17,1,0.079
29.23,14.55,1,0.037
59.03,3.04,2,0.376
34.78,3.6,3,0.431
170.7,2.25,2,0.031
39.53,14.79,4,0.107
44.23,3.05,2,0.316
44.55,3.05,1,0.346
51.49,2.79,2,0.413
250.28,1.91,3,0.025
210.81,2.17,2,0.09
41.5,1.77,2,0.324
44.12,2.29,2,0.311
40.17,12.46,5,0.147
233.56,1.84,1,0.026
17.67,1.28,1,0.023
210.85,2.09,3,0.045
183.31,2.56,2,0.016
26.62,0.84,1,0.03
8.54,1.06,1,0.035
53.93,3.01,2,0.421
37.08,2.43,2,0.38
196.53,1.04,2,0.038
42.01,13.88,2,0.076
49.38,4.05,2,0.279
48.54,11.62,2,0.082
41.74,12.5,3,0.116
187.22,1.32,1,0.077
24.74,1.07,1,0.054
252.36,2.11,2,0.063
25.47,12.72,4,0.113
51.63,17.29,4,0.121
29.3,1.23,1,0.023
235.66,1.74,2,0.075
38.57,6.44,3,0.159
230.51,1.71,3,0.0
25.75,3.8,2,0.331
29.49,0.3,1,0.003
49.77,2.6,2,0.357
56.81,2.77,2,0.293
201.83,1.82,2,0.065
225.51,3.01,2,0.053
57.99,2.96,2,0.48
23.46,11.14,3,0.138
127.59,2.22,3,0.072
51.57,3.58,2,0.281
190.15,1.12,2,0.069
55.94,3.5,2,0.389
37.26,8.02,2,0.158
137.4,1.38,2,0.077
26.29,10.92,4,0.102
19.47,1.38,1,0.0
26.46,2.97,3,0.334
35.53,1.93,1,0.327
46.86,2.32,3,0.4
25.43,16.34,3,0.108
216.85,0.87,2,0.037
40.73,10.77,2,0.094
50.64,13.84,3,0.0
212.5,2.06,3,0.087
34.75,2.36,2,0.273
21.56,14.78,2,0.093
29.71,11.98,3,0.094
46.48,11.76,3,0.157
39.15,4.49,5,0.041
201.05,2.19,1,0.02
278.04,1.51,2,0.052
37.88,15.78,3,0.109
222.26,1.48,2,0.04
29.84,1.13,1,0.01
32.62,10.85,3,0.088
13.85,0.37,1,0.044
30.16,17.77,3,0.123
20.14,11.5,3,0.0
33.28,1.61,1,0.27
36.01,1.28,2,0.348
36.11,2.76,2,0.289
181.34,1.49,2,0.057
20.23,9.7,2,0.06
23.07,0.68,2,0.039
19.86,0.67,1,0.025
192.07,2.58,2,0.059
31.3,13.91,3,0.15
51.22,1.27,3,0.514
130.86,2.5,3,0.02
26.22,1.51,1,0.0
132.23,1.95,2,0.0
17.62,1.55,1,0.046
33.63,10.78,2,0.137
213.29,2.17,2,0.06
38.07,12.32,2,0.072
228.32,2.05,1,0.044
36.3,17.61,2,0.139
32.32,11.49,3,0.123
38.85,9.69,3,0.105
43.34,1.73,2,0.416
179.77,1.63,2,0.033
39.06,12.31,3,0.152
31.69,14.82,2,0.092
27.51,0.7,1,0.04
41.41,2.26,1,0.33
40.62,2.33,2,0.329
24.51,0.99,2,0.012
179.95,2.72,2,0.095
219.98,1.96,3,0.04
195.61,2.6,2,0.056
30.2,0.82,1,0.039
44.52,11.21,3,0.095
157.93,1.15,1,0.056
166.17,2.01,2,0.083
250.49,3.21,1,0.071
263.07,2.25,2,0.051
23.01,7.56,4,0.129
256.83,2.16,2,0.1
44.8,3.34,2,0.308
231.34,2.41,1,0.072
25.65,0.2,1,0.0
40.54,2.93,1,0.363
39.01,14.57,2,0.13
155.05,1.56,2,0.127
25.47,10.68,4,0.092
193.74,2.2,3,0.076
38.62,2.94,2,0.287
236.43,1.69,2,0.075
36.7,8.82,2,0.083
212.66,2.21,2,0.057
45.49,4.18,3,0.35
26.39,2.64,2,0.363
38.15,10.57,3,0.12
25.12,1.14,1,0.017
59.62,4.23,2,0.264
34.68,1.62,1,0.338
40.98,6.52,3,0.15
215.31,1.25,2,0.028
29.64,4.31,2,0.299
46.02,17.16,2,0.094
253.83,1.86,2,0.018
245.84,1.38,1,0.054
58.06,12.08,3,0.11
29.19,1.27,2,0.025
35.67,13.75,4,0.185
39.96,2.2,1,0.323
187.93,1.95,2,0.05
32.34,12.91,3,0.092
46.92,9.32,3,0.03
213.19,3.75,2,0.08
54.51,2.77,2,0.382
51.3,2.5,3,0.341
10.82,1.26,1,0.048
31.68,0.57,1,0.032
21.41,12.86,3,0.103
193.62,2.07,3,0.063
231.26,2.41,2,0.056
148.25,3.59,2,0.097
45.9,12.47,3,0.139
213.31,1.62,2,0.048
42.47,3.16,2,0.298
219.52,2.04,1,0.041
217.58,2.31,2,0.0
216.41,1.31,3,0.085
44.06,15.58,3,0.078
50.55,8.47,2,0.067
176.13,1.26,2,0.079
24.73,1.52,1,0.04
44.81,7.53,3,0.057
20.94,8.36,2,0.069
197.02,2.54,1,0.033
30.03,0.98,1,0.031
223.59,3.1,3,0.031
31.54,12.74,3,0.141
253.9,2.94,2,0.022
187.44,1.41,2,0.039
47.42,3.52,2,0.423
38.25,3.29,2,0.321
31.24,2.77,2,0.346
251.17,1.23,3,0.017
15.71,0.57,1,0.023
36.44,3.6,2,0.354
35.4,6.45,3,0.0
50.28,3.79,1,0.283
215.05,1.78,2,0.07
44.7,2.23,3,0.317
181.48,1.75,2,0.041
26.15,13.0,4,0.094
29.88,1.51,1,0.03
243.48,1.33,1,0.104
51.5,4.07,2,0.223
45.71,10.87,4,0.184
39.78,9.97,4,0.121
46.2,9.83,3,0.11
38.62,3.23,2,0.501
53.9,3.88,2,0.218
184.99,2.16,2,0.058
52.78,3.2,2,0.415
47.22,2.26,2,0.306
43.3,10.65,4,0.098
42.52,12.14,3,0.064
241.49,1.92,2,0.038
43.05,1.93,2,0.423
40.53,13.16,4,0.143
44.76,13.67,3,0.136
38.01,16.96,2,0.102
47.65,1.17,2,0.451
185.43,1.12,2,0.08
216.64,2.53,3,0.011
39.51,13.31,4,0.098
35.44,15.23,4,0.006
224.34,2.45,2,0.073
52.12,2.59,2,0.393
21.11,11.37,2,0.089
247.6,1.66,3,0.056
45.36,2.61,1,0.37
60.0,3.63,2,0.299
194.13,1.73,2,0.029
27.66,1.46,1,0.026
49.26,2.79,2,0.412
18.7,3.02,2,0.345
22.28,0.93,1,0.009
39.28,12.67,3,0.087
23.44,1.37,1,0.013
49.87,3.02,3,0.335
37.15,2.39,2,0.379
34.91,13.1,2,0.037
220.03,1.81,2,0.022
38.19,13.26,3,0.128
209.82,1.84,2,0.073
38.19,3.97,2,0.167
48.78,12.35,2,0.117
24.84,11.54,2,0.035
59.65,1.54,2,0.234
55.42,2.8,4,0.479
43.03,14.89,2,0.149
44.01,2.21,2,0.41
38.64,10.6,1,0.074
37.12,16.04,5,0.101
64.36,2.6,2,0.454
218.95,1.55,2,0.033
16.43,10.44,2,0.078
43.35,3.87,2,0.226
30.49,13.16,3,0.077
44.68,2.17,1,0.417
32.08,2.63,2,0.369
161.96,2.11,3,0.0
36.32,0.9,1,0.0
22.76,0.78,1,0.034
26.47,1.32,2,0.039
172.93,2.69,1,0.087
42.04,8.78,4,0.131
135.47,1.96,2,0.038
33.16,2.24,2,0.29
60.91,12.98,3,0.104
39.2,3.05,2,0.219
35.27,9.7,2,0.092
227.86,2.39,2,0.068
186.34,1.27,2,0.071
44.26,11.82,3,0.011
45.86,2.87,2,0.259
46.97,10.3,3,0.085
21.32,12.19,3,0.099
208.59,1.29,2,0.028
182.94,1.4,2,0.069
18.67,0.2,1,0.038
29.9,0.58,1,0.025
22.02,1.6,2,0.024
32.77,12.03,4,0.021
41.55,9.32,3,0.079
191.11,1.69,2,0.043
43.26,9.03,4,0.099
35.15,9.83,4,0.116
23.73,1.31,1,0.036
18.98,13.53,3,0.095
42.27,1.83,2,0.297
234.83,2.82,2,0.029
150.18,1.94,2,0.08
164.91,2.2,2,0.004
236.07,1.87,1,0.161
28.25,12.56,3,0.091
162.28,1.49,2,0.053
42.15,3.46,2,0.28
29.93,0.21,1,0.015
19.24,1.61,2,0.05
216.23,2.1,2,0.036
205.93,2.32,3,0.033
38.9,14.62,3,0.039
232.41,1.98,2,0.051
190.79,2.1,2,0.036
25.64,0.91,1,0.035
36.48,10.03,3,0.028
183.84,1.51,2,0.082
37.64,13.48,3,0.115
23.44,1.23,2,0.226
188.99,2.77,1,0.051
32.52,14.5,2,0.151
31.35,8.36,3,0.002
53.96,2.37,3,0.245
183.87,1.93,1,0.016
30.68,13.4,4,0.124
14.64,1.37,1,0.022
165.37,1.53,3,0.066
50.3,2.45,3,0.461
199.57,1.32,3,0.053
47.79,15.56,2,0.055
42.15,11.29,3,0.082
23.8,9.49,3,0.075
169.42,2.57,2,0.082
185.88,2.05,2,0.051
34.16,0.42,1,0.009
183.78,2.56,2,0.065
18.29,14.13,3,0.119
149.12,1.04,2,0.01
44.96,2.2,2,0.398
31.98,1.23,1,0.016
36.26,0.72,2,0.027
36.78,2.59,3,0.364
24.22,0.27,1,0.029
174.59,2.18,2,0.0
47.53,6.44,4,0.091
186.86,4.1,1,0.06
42.44,15.41,3,0.078
22.12,1.54,2,0.044
204.12,1.63,2,0.075
29.69,8.31,2,0.116
16.46,1.63,1,0.0
170.03,1.76,2,0.016
22.56,0.62,1,0.033
28.04,3.32,1,0.319
218.82,1.4,2,0.052
41.86,11.21,3,0.028
45.47,6.36,2,0.076
29.47,13.47,5,0.138
44.47,14.95,2,0.053
39.2,10.66,3,0.119
24.85,13.21,4,0.082
37.07,1.46,1,0.03
197.05,2.26,2,0.048
20.33,1.17,1,0.021
220.07,1.98,1,0.038
211.04,2.03,1,0.033
37.55,13.36,2,0.071
34.77,1.55,2,0.346
150.14,1.3,1,0.075
192.6,3.66,1,0.076
50.52,1.66,2,0.276
17.82,4.62,2,0.286
33.57,3.17,2,0.451
179.39,1.52,3,0.034
25.38,1.17,1,0.0
43.44,10.86,3,0.112
46.3,3.41,1,0.346
26.9,0.84,1,0.058
19.22,9.02,2,0.098
43.4,2.34,2,0.267
237.79,1.81,2,0.04
20.57,0.63,1,0.001
21.54,1.63,1,0.024
28.59,12.56,3,0.091
22.31,1.42,1,0.0
60.01,1.51,2,0.297
36.27,9.32,3,0.056
38.91,12.92,3,0.108
40.06,9.58,4,0.133
26.26,1.02,1,0.0
168.81,2.81,3,0.06
33.93,10.98,3,0.09
204.34,2.0,2,0.059
39.09,3.51,2,0.304
39.53,2.52,3,0.363
40.97,2.74,2,0.472
41.94,13.77,4,0.134
37.95,7.28,3,0.12
23.65,1.36,1,0.02
231.08,2.47,1,0.038
29.69,14.35,3,0.1
47.2,3.7,3,0.265
21.16,0.91,1,0.0
16.68,1.08,2,0.058
27.09,1.13,1,0.043
17.8,0.88,1,0.037
40.09,7.5,3,0.067
30.67,0.66,1,0.008
26.88,1.09,1,0.0
27.26,7.07,3,0.064
200.58,1.55,2,0.089
180.11,0.62,2,0.118
162.02,2.35,1,0.074
41.81,3.24,2,0.305
154.07,2.34,2,0.06
38.58,13.8,3,0.123
184.35,1.42,2,0.032
174.33,2.4,1,0.072
32.94,11.0,2,0.137
49.25,11.99,2,0.069
42.69,3.45,2,0.333
27.65,2.18,2,0.379
226.69,2.58,3,0.067
20.6,0.85,1,0.0
177.64,2.9,2,0.058
23.33,1.4,1,0.023
37.53,7.69,3,0.065
22.47,1.02,1,0.043
33.03,3.02,2,0.335
36.81,14.02,3,0.115
39.97,14.15,3,0.074
40.41,9.13,3,0.043
272.72,2.53,1,0.031
45.86,2.24,2,0.4
49.91,2.81,3,0.298
17.97,1.22,1,0.0
24.2,0.74,1,0.032
47.13,14.33,3,0.118
160.93,1.82,2,0.057
171.57,2.34,3,0.035
39.89,3.26,2,0.287
31.66,15.48,4,0.122
35.82,15.46,5,0.127
43.27,3.02,2,0.413
47.91,3.54,2,0.408
21.58,0.88,1,0.001
34.92,11.64,3,0.137
228.83,2.1,2,0.054
31.14,9.66,3,0.078
50.05,11.68,2,0.132
253.78,1.29,2,0.046
33.01,0.93,1,0.0
61.49,2.18,3,0.37
33.25,3.14,2,0.513
24.17,9.18,2,0.059
41.93,14.59,3,0.06
180.76,2.26,1,0.009
48.37,1.98,2,0.439
41.19,2.13,2,0.453
186.16,1.61,1,0.006
28.22,1.04,1,0.0
27.93,14.51,3,0.007
16.35,1.07,1,0.022
47.42,3.56,2,0.35
35.54,12.65,3,0.073
38.07,12.54,2,0.096
36.76,8.57,3,0.138
31.09,4.26,2,0.27
40.64,3.07,3,0.367
25.36,12.28,2,0.099
41.17,2.11,2,0.421
34.74,13.88,2,0.073
195.12,2.44,3,0.024
242.25,1.14,2,0.0
20.14,1.26,1,0.046
33.58,3.09,1,0.322
215.08,2.68,2,0.094
57.28,3.77,2,0.259
211.72,3.43,2,0.11
27.58,1.25,1,0.047
19.59,11.76,2,0.046
258.35,2.14,3,0.07
32.52,3.83,3,0.276
26.9,11.27,3,0.094
192.46,2.34,2,0.038
41.19,2.83,2,0.321
58.78,3.2,2,0.321
39.94,13.54,3,0.15
41.11,3.12,2,0.352
50.69,11.35,2,0.082
162.21,2.03,3,0.007
64.85,3.36,2,0.297
17.63,12.56,3,0.071
63.16,3.69,1,0.298
150.99,1.16,2,0.029
38.65,0.49,1,0.011
31.39,11.28,3,0.178
222.26,1.81,2,0.02
158.49,1.89,2,0.04
212.41,1.85,1,0.09
168.11,2.16,1,0.035
26.27,0.3,1,0.028
25.61,12.58,4,0.081
52.83,3.11,2,0.375
197.86,1.96,1,0.055
40.42,2.72,2,0.404
165.71,1.63,2,0.099
23.36,3.13,1,0.427
42.17,12.99,4,0.053
34.93,1.83,2,0.481
32.56,0.63,1,0.01
236.62,0.87,2,0.068
45.84,3.58,2,0.219
153.76,2.43,2,0.055
25.22,14.85,4,0.09
45.24,3.15,2,0.272
23.86,12.93,4,0.139
35.94,1.4,2,0.034
29.2,1.34,1,0.008
169.77,2.04,1,0.048
44.08,2.82,1,0.285
228.05,1.54,2,0.062
25.49,3.46,2,0.297
36.48,0.7,1,0.013
61.16,3.37,2,0.335
44.23,6.02,4,0.146
47.56,9.94,4,0.041
126.73,1.75,2,0.093
23.51,0.68,1,0.013
203.26,2.78,2,0.034
48.64,12.81,5,0.084
41.57,13.46,4,0.061
147.98,2.78,2,0.046
206.26,2.08,2,0.076
178.52,1.82,2,0.015
30.07,2.61,1,0.324
46.88,2.57,2,0.269
25.45,0.84,1,0.008
35.93,10.82,4,0.103
34.26,2.58,2,0.327
229.68,2.21,2,0.062
50.09,2.68,1,0.018
36.68,12.14,2,0.089
239.44,2.84,2,0.086
28.29,13.33,2,0.036
44.06,8.41,3,0.075
167.0,1.23,1,0.063
42.14,1.87,2,0.308
21.75,10.86,3,0.099
39.06,3.03,2,0.369
29.73,1.66,1,0.0
39.28,10.66,3,0.112
24.32,1.01,1,0.015
29.63,11.25,3,0.078
178.37,1.28,2,0.015
37.67,10.07,1,0.076
208.28,2.58,2,0.047
35.91,15.29,4,0.168
38.39,13.23,5,0.161
49.57,12.12,2,0.061
26.72,1.06,1,0.034
27.19,11.15,3,0.0
25.6,13.02,2,0.127
210.46,1.7,1,0.04
42.53,3.27,2,0.295
200.24,0.97,2,0.075
49.22,2.1,2,0.163
18.62,1.54,1,0.0
48.34,14.32,3,0.081
40.18,7.77,2,0.109
23.38,1.85,1,0.009
176.54,1.6,2,0.093
35.91,3.23,1,0.284
52.25,3.01,2,0.358
30.63,1.14,1,0.0
26.7,10.12,3,0.107
56.2,4.01,2,0.449
204.04,2.42,2,0.038
27.02,0.7,2,0.003
239.6,2.6,2,0.0
33.57,4.23,1,0.256
43.62,2.81,2,0.346
49.24,2.12,2,0.333
47.15,4.41,2,0.35
24.78,7.8,3,0.168
34.3,10.09,4,0.112
39.18,13.03,5,0.083
159.26,1.38,2,0.026
37.57,3.88,2,0.441
38.71,4.42,2,0.303
32.12,1.82,3,0.22
43.17,2.96,2,0.296
27.63,3.6,2,0.138
185.73,1.38,3,0.103
34.85,13.8,3,0.1
226.03,2.28,2,0.09
35.78,1.35,1,0.03
22.77,1.04,1,0.04
45.65,4.32,2,0.186
26.5,1.1,1,0.025
191.43,2.66,2,0.027
31.79,14.19,4,0.076
36.76,14.27,3,0.098
144.81,2.91,3,0.022
47.31,10.5,2,0.0
50.36,8.98,3,0.138
48.26,17.55,3,0.173
27.48,3.73,3,0.444
36.41,9.35,3,0.066
212.14,0.87,2,0.04
47.91,4.02,3,0.223
33.64,3.32,2,0.292
29.17,0.93,1,0.03
168.23,2.22,2,0.056
30.98,2.13,1,0.044
155.37,1.48,2,0.076
19.96,1.01,1,0.035
45.85,13.67,3,0.151
42.18,15.97,3,0.175
37.62,11.65,5,0.097
19.36,1.75,2,0.411
38.33,4.22,2,0.477
216.07,2.34,1,0.013
185.57,2.34,1,0.019
22.74,11.86,4,0.091
45.3,7.91,3,0.184
26.52,10.26,5,0.123
39.74,2.52,2,0.322
191.5,2.17,2,0.052
55.38,2.69,1,0.303
22.92,0.8,1,0.02
203.71,2.56,1,0.083
186.77,2.06,1,0.025
26.75,9.82,3,0.047
39.25,2.47,2,0.561
208.38,2.26,1,0.066
29.03,0.54,1,0.006
232.26,3.72,2,0.087
30.55,9.21,4,0.17
43.21,2.83,2,0.218
179.58,3.39,2,0.043
168.8,2.97,3,0.055
168.94,1.81,2,0.048
49.24,3.07,2,0.243
56.02,3.14,2,0.5
179.7,2.69,1,0.048
34.61,14.82,3,0.049
40.84,11.96,4,0.109
29.68,9.12,3,0.116
190.56,1.72,2,0.061
40.09,3.75,2,0.38
64.0,2.94,2,0.344
212.45,2.25,1,0.056
141.86,3.1,2,0.097
27.68,13.83,3,0.094
30.73,2.59,1,0.283
38.0,2.51,2,0.338
29.57,14.66,3,0.086
194.48,1.89,2,0.07
34.47,10.28,3,0.129
26.6,14.3,2,0.105
32.1,9.44,3,0.149
34.9,0.82,1,0.037
50.58,4.2,1,0.257
255.87,2.27,2,0.082
28.71,0.84,1,0.045
26.11,14.27,4,0.147
230.38,1.31,3,0.067
19.68,3.06,1,0.352
22.61,0.88,1,0.03
19.1,1.13,1,0.017
57.94,3.06,2,0.452
212.28,1.55,1,0.053
29.52,1.83,1,0.009
31.75,1.9,2,0.382
52.06,2.05,3,0.448
59.08,3.06,2,0.402
47.19,16.64,1,0.036
30.23,1.71,3,0.322
32.1,0.99,1,0.018
33.86,10.39,3,0.131
22.15,0.36,1,0.048
32.96,16.41,2,0.142
54.17,14.29,4,0.096
34.02,2.76,2,0.371
28.62,0.84,2,0.028
131.69,1.77,2,0.049
183.52,1.85,2,0.016
32.45,12.8,3,0.166
13.98,1.48,1,0.015
32.25,13.03,4,0.137
183.43,1.21,2,0.052
24.23,0.82,1,0.032
38.34,10.91,3,0.114
27.11,1.06,2,0.012
28.93,2.38,3,0.434
161.08,1.77,1,0.0
44.21,12.73,3,0.139
35.6,12.7,3,0.108
218.95,3.26,2,0.058
43.62,2.51,3,0.334
35.41,5.11,2,0.412
212.09,2.52,1,0.0
41.96,9.2,5,0.06
33.06,3.17,1,0.372
232.07,1.25,3,0.026
39.71,2.79,1,0.418
48.9,10.97,3,0.056
242.53,0.98,1,0.066
50.61,2.08,2,0.246
161.76,2.35,2,0.111
27.04,0.65,1,0.009
25.96,1.81,1,0.032
28.15,2.93,1,0.476
154.37,1.51,3,0.046
35.72,10.7,3,0.137
61.36,3.69,2,0.353
36.71,14.61,3,0.12
33.97,14.24,4,0.076
36.11,12.94,3,0.106
238.98,1.09,2,0.04
29.3,0.88,1,0.001
45.46,15.34,3,0.134
23.52,11.53,3,0.114
32.22,10.7,3,0.125
208.85,2.14,2,0.09
40.2,2.98,2,0.214
37.13,2.73,3,0.172
34.64,14.73,4,0.007
180.48,2.25,2,0.071
40.9,12.35,2,0.134
33.75,17.37,3,0.124
246.71,2.25,3,0.042
194.43,2.22,3,0.035
36.18,13.01,2,0.115
170.28,2.02,1,0.059
180.19,2.02,2,0.063
37.67,1.51,2,0.331
44.27,5.04,2,0.256
50.54,2.96,3,0.175
246.97,1.66,1,0.056
39.99,11.28,3,0.171
187.46,1.65,2,0.053
23.12,0.42,2,0.003
57.97,4.35,1,0.32
40.36,4.38,3,0.365
244.7,1.47,2,0.059
57.23,1.99,1,0.366
22.22,1.49,2,0.525
33.77,14.95,2,0.146
21.31,1.22,2,0.41
38.38,11.36,2,0.083
43.61,9.58,4,0.053
31.66,0.6,1,0.01
229.66,1.25,1,0.04
24.14,0.59,1,0.003
63.65,3.29,2,0.389
205.5,1.59,3,0.001
61.09,3.73,2,0.283
29.94,13.01,2,0.075
29.18,10.06,2,0.059
51.73,2.17,2,0.572
10.74,1.16,1,0.04
173.01,1.92,1,0.099
242.19,2.12,1,0.026
39.91,7.66,2,0.102
18.86,1.46,1,0.04
23.09,1.63,1,0.031
47.39,3.09,2,0.193
207.18,1.62,2,0.06
29.07,9.93,4,0.052
20.75,9.06,2,0.109
16.36,11.53,3,0.005
239.07,2.31,2,0.0
38.17,10.88,5,0.122
44.77,2.92,2,0.376
33.91,9.67,3,0.076
54.33,9.58,3,0.139
206.83,1.67,1,0.045
35.48,7.94,2,0.096
119.15,1.87,1,0.032
35.2,2.62,2,0.344
55.95,4.57,2,0.274
62.7,2.89,2,0.225
35.38,2.79,3,0.354
37.28,11.07,3,0.158
149.92,1.76,3,0.066
27.02,1.82,1,0.022
31.75,6.37,2,0.141
28.09,11.18,2,0.093
19.76,2.22,1,0.045
241.78,2.04,1,0.036
49.35,13.61,4,0.112
34.31,8.97,2,0.153
33.86,10.82,1,0.014
185.43,1.84,1,0.041
155.18,1.65,1,0.054
29.0,10.88,4,0.079
18.01,1.5,2,0.024
34.0,10.95,2,0.05
26.89,8.88,3,0.132
55.34,3.09,2,0.151
32.64,10.0,2,0.114
64.02,3.54,2,0.45
42.46,4.72,3,0.42
225.72,2.29,3,0.019
29.54,1.6,1,0.004
151.5,3.15,2,0.057
229.85,2.3,4,0.051
21.59,1.06,1,0.009
275.65,1.8,2,0.002
30.57,1.07,1,0.03
36.38,10.83,4,0.145
25.77,11.22,3,0.078
46.66,3.07,1,0.304
266.06,2.05,2,0.058
50.18,3.7,2,0.264
38.11,3.33,2,0.404
37.1,12.78,4,0.012
183.39,2.12,1,0.029
51.48,3.1,2,0.374
245.47,1.83,1,0.047
184.73,1.89,3,0.078
17.28,0.89,1,0.009
30.55,7.93,2,0.099
29.79,10.62,4,0.142
25.15,10.97,3,0.072
31.63,0.83,2,0.047
225.8,1.69,3,0.031
35.68,2.24,2,0.338
151.84,1.23,3,0.081
37.12,9.92,3,0.105
37.25,12.05,3,0.135
50.88,1.99,2,0.399
157.85,2.09,2,0.032
131.04,1.85,2,0.065
34.23,1.32,1,0.0
142.54,2.25,2,0.05
21.49,1.37,1,0.046
57.66,3.13,3,0.434
35.95,11.05,4,0.116
213.17,2.4,2,0.035
164.46,1.9,2,0.013
38.2,11.32,4,0.091
183.92,2.3,2,0.016
33.96,14.09,3,0.067
40.0,10.54,4,0.082
230.57,2.58,3,0.064
57.82,12.63,5,0.084
39.6,13.44,2,0.072
46.92,3.75,2,0.296
30.78,10.06,2,0.06
19.97,16.48,3,0.115
147.11,2.52,2,0.067
29.44,0.59,1,0.0
22.82,1.18,1,0.012
17.86,1.49,1,0.015
250.22,2.05,2,0.0
29.3,3.49,2,0.314
19.32,0.2,1,0.003
30.98,13.16,2,0.068
194.37,2.08,2,0.039
36.48,14.22,3,0.03
231.48,1.1,3,0.078
235.19,2.17,2,0.015
25.55,2.65,1,0.349
40.74,14.41,4,0.1
42.96,13.93,4,0.079
31.65,13.87,2,0.115
54.4,4.21,2,0.454
41.0,2.26,2,0.335
29.65,1.33,1,0.011
39.03,12.71,2,0.063
38.65,15.6,2,0.058
25.06,1.35,2,0.01
35.43,16.83,3,0.118
56.52,10.37,3,0.122
192.6,1.73,3,0.125
52.42,2.13,2,0.357
191.83,1.78,2,0.011
169.73,2.54,3,0.086
29.94,10.34,3,0.118
181.01,3.42,2,0.085
212.49,2.23,1,0.03
23.66,3.08,3,0.555
46.46,13.96,3,0.045
231.97,1.56,2,0.045
37.45,3.67,2,0.434
204.47,2.22,2,0.077
37.11,10.29,3,0.069
25.27,2.51,2,0.466
253.98,1.48,2,0.098
41.71,10.98,4,0.09
49.17,14.75,3,0.064
62.19,4.57,2,0.307
28.44,12.64,2,0.111
210.01,1.76,2,0.059
222.62,2.27,2,0.038
32.62,11.42,3,0.047
226.64,2.59,2,0.06
193.91,2.25,2,0.031
56.73,4.67,2,0.288
32.06,0.34,1,0.0
38.77,16.07,3,0.091
36.56,12.92,3,0.081
179.93,1.48,2,0.034
116.29,2.4,2,0.059
35.3,14.38,3,0.05
152.31,1.79,1,0.061
31.52,11.37,5,0.182
17.91,1.25,1,0.009
27.15,9.43,3,0.079
15.11,0.81,2,0.036
217.09,2.25,2,0.046
44.63,2.76,2,0.411
52.25,2.58,2,0.407
30.77,14.66,2,0.139
44.75,7.95,3,0.141
215.85,1.47,1,0.056
30.69,13.75,4,0.081
33.66,9.79,2,0.055
22.53,0.84,1,0.035
57.11,2.82,2,0.302
46.62,14.3,4,0.066
225.79,2.06,2,0.041
26.31,1.53,1,0.012
37.86,1.0,1,0.024
35.65,13.98,2,0.051
157.42,2.2,2,0.019
59.66,3.41,2,0.358
32.14,12.69,3,0.127
231.24,2.12,2,0.07
29.07,0.47,1,0.0
206.49,2.81,2,0.016
20.42,1.17,1,0.017
177.06,1.49,3,0.058
29.35,12.11,3,0.012
158.84,2.74,1,0.08
40.03,3.38,2,0.247
46.92,2.41,1,0.248
28.6,1.56,1,0.0
43.25,13.35,3,0.136
40.19,1.93,2,0.391
213.47,1.56,1,0.066
40.02,2.23,2,0.515
56.05,2.91,1,0.524
166.97,0.69,3,0.093
39.7,15.65,4,0.185
213.96,1.02,2,0.041
188.43,2.48,3,0.0
177.28,2.1,2,0.04
43.05,8.19,3,0.135
188.69,2.81,2,0.08
29.31,1.53,1,0.005
175.62,1.66,2,0.02
45.03,13.01,4,0.155
182.1,2.41,2,0.045
185.91,1.52,1,0.042
50.07,3.04,1,0.382
43.41,3.17,2,0.252
251.7,1.64,2,0.065
24.6,1.47,1,0.0
199.9,2.87,3,0.06
33.9,0.42,1,0.031
40.91,1.66,1,0.251
181.92,1.91,2,0.088
185.85,1.91,2,0.054
25.33,1.39,1,0.0
30.29,0.88,1,0.033
200.58,2.26,2,0.078
61.88,3.37,1,0.209
249.78,1.46,2,0.05
149.85,1.6,1,0.046
38.69,2.96,2,0.411
21.04,9.49,3,0.146
47.64,11.5,4,0.102
43.99,11.31,2,0.178
49.42,3.55,1,0.261
219.0,2.1,2,0.036
67.5,2.1,2,0.39
60.11,3.28,2,0.375
53.08,3.63,2,0.442
230.59,2.22,2,0.103
49.97,3.43,2,0.327
192.33,1.21,3,0.096
225.17,1.68,2,0.003
30.04,12.33,4,0.186
30.42,14.08,4,0.115
26.74,10.74,4,0.092
20.38,0.7,1,0.0
180.27,1.91,2,0.101
37.86,3.02,2,0.393
33.44,8.92,2,0.108
220.86,1.96,1,0.089
167.16,3.16,3,0.001
48.68,2.75,2,0.215
46.91,10.52,3,0.108
172.5,1.76,1,0.056
230.7,2.14,2,0.06
132.28,2.28,2,0.038
43.89,11.41,3,0.066
46.15,3.61,2,0.357
34.27,1.8,2,0.339
51.77,3.1,2,0.347
25.23,1.31,1,0.013
19.7,0.4,1,0.021
34.36,11.42,3,0.047
