AvgOrderValue,PurchaseFrequency,NumProductCategoriesShoppedIn,AvgDiscountUsed,Cluster
34.57,13.16,2,0.092,0
212.14,2.1,1,0.053,1
220.85,2.41,2,0.042,1
243.95,2.59,2,0.011,1
45.19,15.97,3,0.097,0
50.1,5.49,2,0.389,3
22.01,11.78,4,0.155,0
189.44,1.89,2,0.075,1
157.84,2.03,1,0.069,1
34.18,11.23,2,0.164,0
31.09,11.28,3,0.112,0
42.92,2.42,2,0.22,3
220.28,2.08,1,0.044,1
24.86,0.92,1,0.038,2
61.58,3.29,1,0.289,3
58.85,3.85,2,0.302,3
199.27,1.69,2,0.066,1
36.89,10.82,4,0.076,0
38.94,2.42,2,0.351,3
35.25,5.12,2,0.098,2
171.72,1.96,2,0.0,1
41.69,14.75,3,0.045,0
124.6,2.07,2,0.095,1
203.18,2.33,2,0.0,1
202.21,2.22,2,0.064,1
37.01,2.73,1,0.359,3
32.62,10.02,3,0.054,0
187.55,1.89,2,0.051,1
40.62,9.73,2,0.121,0
259.01,1.85,3,0.007,1
39.58,2.18,1,0.24,3
62.51,4.26,2,0.22,3
16.76,1.34,1,0.036,2
32.65,8.47,4,0.151,0
47.09,3.55,2,0.266,3
29.46,1.26,1,0.044,2
28.61,11.46,4,0.051,0
47.76,4.06,2,0.487,3
43.14,12.59,2,0.112,0
30.28,0.41,1,0.029,2
22.82,0.55,1,0.0,2
42.0,12.8,4,0.042,0
59.42,3.57,2,0.303,3
34.8,13.71,4,0.118,0
35.0,3.62,2,0.354,3
58.3,2.5,3,0.485,3
24.0,0.94,1,0.003,2
184.19,1.82,2,0.033,1
26.93,3.88,2,0.443,3
42.42,4.5,2,0.392,3
222.2,1.94,1,0.021,1
222.95,1.99,2,0.075,1
240.14,1.55,2,0.022,1
37.98,2.94,2,0.378,3
57.4,3.46,1,0.297,3
40.33,1.92,3,0.306,3
30.82,11.06,2,0.115,0
37.93,3.49,2,0.258,3
36.88,13.73,3,0.015,0
150.25,1.33,2,0.047,1
25.52,1.42,2,0.032,2
24.34,0.95,1,0.027,2
25.32,3.45,2,0.319,3
58.43,2.16,2,0.316,3
17.63,1.02,1,0.027,2
53.34,3.2,2,0.344,3
49.85,4.15,3,0.084,0
35.12,12.43,4,0.12,0
21.23,1.27,1,0.042,2
255.99,2.06,1,0.032,1
42.47,2.17,2,0.421,3
45.65,2.18,2,0.423,3
211.81,2.4,1,0.017,1
33.62,16.18,3,0.07,0
46.74,11.8,4,0.091,0
53.59,3.31,2,0.385,3
28.89,1.01,2,0.016,2
36.81,11.29,1,0.103,2
35.73,3.75,2,0.319,3
50.1,3.26,2,0.28,3
296.65,2.09,2,0.075,1
39.85,3.79,3,0.412,3
209.76,1.24,2,0.072,1
184.32,2.58,2,0.084,1
253.33,1.26,1,0.043,1
214.76,1.42,3,0.039,1
57.64,4.4,1,0.266,3
26.24,1.86,1,0.028,2
39.63,12.33,3,0.038,0
28.87,17.77,3,0.119,0
205.72,1.94,2,0.089,1
240.91,2.47,3,0.006,1
42.47,16.94,3,0.111,0
30.54,11.32,4,0.062,0
165.1,2.19,2,0.026,1
168.12,1.73,2,0.033,1
39.22,13.78,3,0.151,0
170.73,1.2,3,0.059,1
43.76,10.43,3,0.139,0
47.38,2.45,2,0.205,3
192.35,2.13,2,0.022,1
17.35,12.78,3,0.063,0
211.01,2.44,2,0.043,1
238.54,1.54,1,0.04,1
43.18,4.45,3,0.368,3
36.87,3.34,2,0.284,3
25.65,16.43,3,0.135,0
12.27,0.51,1,0.048,2
39.94,3.76,2,0.191,3
32.1,2.73,2,0.331,3
25.72,0.76,1,0.015,2
188.97,3.27,2,0.005,1
26.1,0.32,1,0.01,2
46.69,3.68,2,0.398,3
185.78,1.77,2,0.068,1
57.6,2.15,2,0.427,3
21.69,1.17,1,0.013,2
29.56,0.6,1,0.032,2
15.45,0.51,1,0.029,2
39.08,3.1,1,0.397,3
33.34,13.65,4,0.104,0
37.02,11.18,3,0.127,0
153.67,2.2,2,0.036,1
198.61,1.37,2,0.029,1
151.25,3.01,3,0.042,1
20.86,13.23,3,0.084,0
47.14,16.91,3,0.092,0
30.99,13.28,2,0.125,0
25.96,0.69,1,0.066,2
22.26,1.42,1,0.002,2
199.6,2.35,2,0.086,1
16.55,1.05,1,0.0,2
26.72,1.46,2,0.024,2
24.02,13.57,2,0.109,0
31.65,13.78,4,0.079,0
34.52,10.34,2,0.054,0
31.95,7.8,3,0.132,0
237.22,1.1,3,0.045,1
258.84,1.87,2,0.022,1
44.97,3.24,2,0.347,3
67.2,2.89,2,0.324,3
19.83,1.19,1,0.033,2
227.69,1.72,2,0.014,1
51.41,2.65,2,0.351,3
42.64,4.38,4,0.131,0
43.95,3.82,1,0.239,3
43.75,2.47,3,0.34,3
37.7,14.71,3,0.064,0
25.84,16.09,3,0.119,0
48.3,2.42,2,0.37,3
38.39,3.86,1,0.27,3
44.2,1.74,2,0.37,3
31.63,0.95,1,0.003,2
36.67,13.05,2,0.053,0
42.46,10.59,2,0.116,0
52.82,3.3,2,0.437,3
51.55,2.89,2,0.499,3
22.97,1.34,1,0.0,2
49.25,1.04,2,0.296,3
39.52,2.82,2,0.248,3
28.01,3.77,2,0.25,3
42.0,11.17,4,0.051,0
43.12,11.06,3,0.079,0
184.47,1.73,2,0.022,1
29.66,16.16,2,0.087,0
215.22,2.54,2,0.054,1
144.11,2.54,3,0.013,1
38.36,11.59,4,0.141,0
21.25,0.9,1,0.016,2
37.56,15.93,4,0.103,0
175.39,2.31,1,0.076,1
18.94,9.51,2,0.103,0
33.17,13.55,3,0.094,0
209.27,2.45,3,0.084,1
28.45,14.18,2,0.026,0
20.09,10.54,3,0.099,0
40.65,3.35,2,0.293,3
249.74,1.73,2,0.016,1
30.24,10.29,2,0.107,0
199.83,3.18,2,0.051,1
44.34,2.72,2,0.262,3
51.93,12.43,4,0.133,0
27.52,1.07,1,0.037,2
171.43,0.85,2,0.056,1
145.88,2.53,1,0.024,1
238.69,2.67,2,0.034,1
58.06,2.72,2,0.351,3
233.33,1.14,2,0.008,1
24.25,1.99,1,0.023,2
194.91,1.85,2,0.058,1
171.27,1.54,3,0.042,1
38.17,3.47,2,0.326,3
205.02,1.52,2,0.017,1
49.4,4.31,2,0.345,3
47.37,3.1,2,0.295,3
40.07,3.9,1,0.237,3
32.19,0.92,1,0.003,2
184.57,2.41,2,0.054,1
19.85,0.96,1,0.018,2
217.68,2.5,2,0.058,1
35.25,2.49,3,0.303,3
36.64,15.28,4,0.081,0
37.04,2.82,2,0.403,3
47.24,3.13,1,0.378,3
22.85,0.8,1,0.048,2
55.8,2.43,2,0.45,3
21.27,3.2,1,0.371,3
44.52,2.98,2,0.272,3
14.04,0.94,1,0.058,2
52.3,2.42,1,0.402,3
35.57,15.14,2,0.105,0
165.78,2.17,2,0.043,1
201.52,1.63,2,0.077,1
19.78,1.05,1,0.012,2
185.5,1.91,2,0.099,1
77.23,2.74,2,0.296,3
31.09,0.2,1,0.026,2
176.67,2.38,1,0.046,1
226.43,1.62,2,0.054,1
28.7,0.43,1,0.005,2
26.8,1.05,1,0.037,2
47.87,2.84,2,0.277,3
217.68,1.76,2,0.0,1
29.92,0.91,1,0.045,2
31.25,7.63,3,0.143,0
48.73,16.33,3,0.175,0
25.91,2.93,2,0.342,3
229.44,1.76,2,0.05,1
32.95,11.93,2,0.115,0
188.9,2.67,2,0.051,1
230.72,1.53,2,0.063,1
63.34,2.56,2,0.164,3
48.07,13.05,5,0.172,0
24.32,0.2,1,0.039,2
41.17,12.31,3,0.002,0
35.14,4.0,2,0.394,3
219.78,2.25,2,0.057,1
238.45,2.81,3,0.072,1
161.16,0.8,2,0.064,1
272.55,2.14,1,0.021,1
22.65,0.45,1,0.0,2
220.86,2.75,3,0.013,1
41.01,3.87,2,0.348,3
27.56,1.99,2,0.357,3
53.54,2.66,3,0.288,3
32.36,1.01,1,0.01,2
21.17,16.8,3,0.049,0
33.99,0.86,1,0.024,2
65.0,0.88,2,0.338,3
37.64,9.98,3,0.092,0
24.31,0.61,2,0.012,2
39.23,6.99,3,0.029,0
191.66,1.47,1,0.068,1
171.78,1.78,2,0.0,1
203.88,2.04,2,0.043,1
28.86,9.64,3,0.091,0
236.99,1.93,2,0.033,1
39.45,14.57,3,0.104,0
29.44,3.88,2,0.385,3
186.02,1.99,1,0.077,1
44.84,11.78,2,0.108,0
26.36,12.38,3,0.097,0
54.29,1.89,1,0.177,2
40.15,2.74,2,0.253,3
32.67,14.85,2,0.142,0
42.8,13.57,3,0.028,0
44.58,3.95,2,0.475,3
47.1,2.9,2,0.537,3
36.1,12.56,3,0.189,0
175.73,2.07,2,0.088,1
154.05,2.2,2,0.078,1
33.51,3.3,2,0.376,3
22.58,1.35,1,0.011,2
223.01,2.25,2,0.096,1
189.79,1.65,2,0.011,1
15.19,0.79,2,0.024,2
44.5,2.59,2,0.328,3
38.06,16.36,2,0.05,0
29.84,1.28,1,0.029,2
147.59,2.71,1,0.039,1
27.19,13.11,3,0.151,0
198.69,1.42,2,0.05,1
35.53,11.22,2,0.085,0
39.97,10.13,2,0.141,0
31.95,12.99,4,0.066,0
51.91,10.8,3,0.122,0
33.62,8.89,3,0.048,0
157.88,0.9,1,0.075,1
29.43,13.14,2,0.13,0
36.25,17.18,2,0.088,0
22.92,12.01,2,0.129,0
28.08,10.37,3,0.081,0
41.86,2.88,3,0.267,3
28.31,13.79,3,0.166,0
154.85,2.75,2,0.033,1
37.28,11.0,3,0.076,0
27.93,6.79,2,0.101,0
42.91,3.32,2,0.453,3
213.54,1.94,2,0.026,1
183.18,1.41,2,0.059,1
40.01,8.67,3,0.022,0
49.93,1.87,3,0.187,3
216.92,2.56,3,0.045,1
26.06,13.21,3,0.074,0
38.26,3.3,2,0.397,3
42.04,12.67,3,0.035,0
30.33,0.77,1,0.017,2
23.74,8.85,4,0.134,0
36.68,16.79,3,0.078,0
31.27,0.67,1,0.008,2
27.2,10.23,4,0.09,0
42.7,13.92,3,0.091,0
38.93,3.27,3,0.397,3
29.95,12.97,2,0.058,0
31.47,15.21,3,0.131,0
29.93,13.99,4,0.141,0
188.46,1.15,2,0.033,1
39.53,2.81,2,0.326,3
34.9,9.16,3,0.07,0
183.77,1.29,2,0.029,1
30.04,3.41,3,0.261,3
28.42,1.49,1,0.045,2
31.46,1.69,2,0.295,3
273.89,1.71,2,0.061,1
22.59,1.22,1,0.038,2
49.37,3.3,2,0.32,3
208.76,1.5,1,0.007,1
50.45,2.83,2,0.378,3
30.6,10.78,3,0.101,0
34.99,14.09,3,0.157,0
213.15,1.46,1,0.038,1
203.67,1.08,1,0.074,1
51.26,2.78,2,0.253,3
218.26,1.46,1,0.03,1
62.01,2.3,3,0.441,3
50.02,4.71,2,0.227,3
35.13,10.46,1,0.08,2
192.79,1.18,3,0.019,1
33.7,2.33,2,0.365,3
32.72,18.19,2,0.174,0
28.63,11.73,2,0.092,0
44.44,2.5,1,0.376,3
205.96,2.52,1,0.038,1
27.23,1.12,1,0.026,2
194.02,1.8,2,0.108,1
154.52,1.11,3,0.0,1
170.8,1.51,2,0.087,1
270.32,1.18,2,0.09,1
23.55,2.25,2,0.438,3
34.74,12.56,4,0.159,0
56.5,2.66,2,0.517,3
26.91,5.87,3,0.047,0
44.04,15.66,4,0.083,0
40.64,12.32,4,0.116,0
26.96,11.7,3,0.127,0
19.17,1.2,1,0.019,2
16.26,13.88,3,0.041,0
25.51,1.26,1,0.045,2
17.07,3.6,1,0.374,3
30.2,10.17,3,0.142,0
158.56,1.92,2,0.077,1
30.46,1.32,1,0.0,2
232.15,2.16,2,0.0,1
183.52,1.83,2,0.06,1
186.42,2.17,2,0.028,1
41.75,12.64,3,0.099,0
205.55,1.04,2,0.073,1
26.8,1.88,1,0.005,2
51.36,3.14,2,0.458,3
21.57,0.35,1,0.044,2
26.66,0.61,2,0.048,2
23.11,1.65,1,0.012,2
36.64,13.96,2,0.086,0
34.37,12.91,2,0.082,0
204.45,1.73,2,0.108,1
136.35,2.07,2,0.021,1
23.61,0.99,1,0.019,2
260.11,3.09,2,0.016,1
227.23,1.95,2,0.032,1
203.48,2.7,2,0.053,1
25.0,1.85,2,0.027,2
174.09,1.45,2,0.0,1
191.03,1.52,2,0.064,1
22.38,0.41,1,0.002,2
40.58,2.81,3,0.367,3
245.22,1.7,1,0.043,1
37.39,3.66,2,0.38,3
27.38,1.0,1,0.015,2
40.71,14.01,3,0.167,0
50.6,1.36,2,0.378,3
48.26,2.96,2,0.354,3
188.57,1.03,1,0.029,1
55.23,4.44,1,0.216,3
45.39,2.75,1,0.312,3
32.83,1.21,1,0.026,2
212.67,2.15,2,0.062,1
23.26,8.32,4,0.151,0
35.15,2.86,2,0.333,3
27.14,0.45,1,0.01,2
23.55,14.12,2,0.149,0
43.34,3.05,2,0.332,3
208.08,2.45,2,0.031,1
41.39,7.75,3,0.061,0
28.6,13.69,4,0.064,0
213.26,2.59,2,0.078,1
33.1,3.57,3,0.356,3
28.95,8.94,3,0.155,0
40.58,4.04,2,0.325,3
27.76,1.11,1,0.0,2
59.18,3.52,2,0.361,3
26.34,11.39,3,0.11,0
21.4,4.17,2,0.438,3
235.09,2.36,3,0.02,1
33.75,1.22,2,0.011,2
44.77,2.61,2,0.321,3
34.72,2.95,1,0.314,3
21.93,1.32,1,0.078,2
33.37,12.0,4,0.133,0
143.13,1.73,2,0.039,1
28.29,0.57,1,0.02,2
34.93,13.42,3,0.044,0
200.99,0.82,2,0.038,1
181.23,2.1,3,0.106,1
26.68,12.11,3,0.104,0
27.56,1.23,1,0.004,2
214.01,2.4,2,0.076,1
34.42,10.77,3,0.148,0
25.76,1.28,1,0.001,2
25.47,1.25,1,0.0,2
43.88,16.83,3,0.023,0
58.76,2.94,2,0.322,3
49.02,2.08,2,0.342,3
25.21,5.85,3,0.144,0
33.19,2.92,1,0.427,3
32.51,1.61,2,0.396,3
256.91,1.26,1,0.076,1
44.22,4.24,2,0.276,3
237.57,2.47,2,0.114,1
34.49,10.77,4,0.092,0
34.19,14.75,3,0.085,0
44.25,2.67,1,0.308,3
49.43,13.12,1,0.085,0
44.29,4.02,1,0.304,3
45.71,2.26,2,0.4,3
26.77,1.54,1,0.336,3
18.22,9.32,3,0.079,0
49.65,12.54,3,0.135,0
154.92,2.25,3,0.0,1
229.8,2.36,2,0.0,1
200.01,2.01,2,0.068,1
31.85,1.2,2,0.006,2
234.66,2.51,3,0.091,1
50.82,8.05,3,0.098,0
49.02,3.82,3,0.436,3
33.78,7.63,3,0.108,0
57.88,1.91,2,0.401,3
213.0,2.59,2,0.049,1
39.7,3.4,2,0.483,3
45.61,14.43,3,0.092,0
55.34,2.35,2,0.254,3
51.16,10.72,3,0.117,0
25.98,1.87,2,0.434,3
216.81,1.57,3,0.071,1
26.74,9.73,4,0.089,0
191.92,0.95,2,0.03,1
21.77,1.42,1,0.011,2
26.48,0.76,1,0.035,2
271.67,1.65,3,0.028,1
50.33,3.1,1,0.223,3
59.14,2.84,2,0.326,3
32.31,10.83,2,0.1,0
36.56,2.7,2,0.383,3
30.18,12.21,3,0.127,0
207.38,2.54,2,0.043,1
39.94,2.76,1,0.51,3
34.53,3.33,3,0.28,3
221.99,2.53,1,0.034,1
26.04,12.47,2,0.165,0
35.25,13.57,2,0.139,0
42.09,2.77,3,0.286,3
56.84,3.71,2,0.397,3
41.52,15.82,1,0.179,0
138.3,2.18,2,0.126,1
221.9,0.92,2,0.049,1
39.24,9.77,5,0.088,0
195.02,2.14,2,0.017,1
199.64,2.01,1,0.05,1
26.34,13.23,3,0.149,0
26.63,0.92,1,0.029,2
8.76,0.63,1,0.003,2
149.15,1.41,2,0.068,1
38.37,13.82,3,0.067,0
223.66,1.97,2,0.07,1
31.06,2.78,1,0.371,3
198.32,2.95,2,0.092,1
33.13,6.36,3,0.109,0
199.48,2.09,2,0.0,1
42.64,4.27,1,0.313,3
43.96,3.74,2,0.411,3
45.44,2.06,2,0.365,3
29.09,10.47,5,0.127,0
25.14,11.09,2,0.079,0
230.8,2.41,2,0.004,1
46.26,1.22,2,0.329,3
264.76,1.61,2,0.036,1
29.96,7.98,3,0.108,0
41.03,2.17,2,0.158,2
32.91,12.37,3,0.161,0
53.19,3.84,2,0.447,3
42.9,2.29,2,0.341,3
226.54,1.65,3,0.0,1
42.47,2.75,3,0.535,3
56.96,3.08,2,0.366,3
30.23,17.77,2,0.13,0
190.41,2.11,2,0.074,1
48.16,2.54,2,0.364,3
37.64,1.62,2,0.348,3
198.91,3.4,2,0.086,1
66.08,2.37,1,0.356,3
22.36,1.28,1,0.05,2
22.99,11.97,1,0.03,2
28.56,21.96,3,0.128,0
45.49,3.81,3,0.377,3
56.3,2.74,3,0.215,3
205.0,2.35,2,0.043,1
197.91,2.58,2,0.049,1
16.08,0.59,1,0.002,2
188.64,3.59,1,0.082,1
43.59,3.42,2,0.256,3
211.68,1.12,1,0.063,1
125.54,1.57,2,0.018,1
179.25,2.62,1,0.061,1
222.33,2.2,2,0.03,1
24.74,12.63,4,0.128,0
191.78,2.41,2,0.059,1
177.17,1.95,2,0.011,1
44.92,2.75,1,0.407,3
176.39,2.13,2,0.091,1
35.06,14.05,4,0.115,0
53.35,1.6,2,0.169,3
36.94,3.19,2,0.32,3
185.14,2.69,1,0.053,1
175.46,2.21,2,0.094,1
170.26,2.59,3,0.019,1
33.76,10.63,3,0.048,0
33.84,15.27,3,0.097,0
210.84,2.02,2,0.051,1
28.74,10.49,2,0.074,0
244.89,2.78,2,0.062,1
184.22,0.94,1,0.056,1
46.26,2.99,2,0.253,3
214.43,1.81,2,0.118,1
22.24,0.7,1,0.06,2
55.86,2.61,2,0.393,3
50.4,3.78,2,0.386,3
203.81,1.99,2,0.064,1
34.74,12.41,4,0.106,0
45.37,17.48,4,0.074,0
32.35,9.17,3,0.026,0
14.78,0.95,1,0.0,2
17.76,1.58,1,0.001,2
159.64,2.27,2,0.066,1
198.2,1.97,3,0.021,1
26.51,12.72,2,0.127,0
62.67,4.06,2,0.337,3
201.18,1.59,2,0.043,1
23.16,1.31,1,0.025,2
41.48,9.51,5,0.093,0
34.06,17.69,2,0.056,0
231.02,0.68,1,0.015,1
33.13,13.57,2,0.128,0
39.4,9.58,3,0.196,0
19.45,1.02,1,0.019,2
219.19,3.94,2,0.059,1
189.7,1.2,3,0.004,1
255.89,1.79,1,0.079,1
23.64,6.95,4,0.05,0
24.12,1.68,1,0.06,2
24.15,0.95,1,0.052,2
53.04,3.05,2,0.408,3
38.09,11.95,3,0.106,0
28.65,1.01,2,0.045,2
40.77,2.34,1,0.295,3
52.08,3.45,2,0.269,3
226.36,1.97,3,0.087,1
201.52,1.58,1,0.021,1
29.9,1.51,2,0.006,2
32.17,3.35,3,0.507,3
229.49,1.63,2,0.077,1
32.85,3.62,2,0.439,3
196.21,2.21,2,0.048,1
40.18,2.96,3,0.306,3
47.79,3.14,2,0.336,3
39.46,12.26,3,0.179,0
47.99,1.69,1,0.236,3
36.89,2.79,1,0.449,3
198.83,2.58,3,0.029,1
45.73,3.14,2,0.437,3
29.38,15.01,2,0.132,0
231.5,1.2,2,0.082,1
51.83,3.92,3,0.394,3
192.69,0.99,1,0.049,1
221.79,2.87,1,0.061,1
200.65,1.76,4,0.021,1
22.28,1.28,1,0.03,2
153.34,2.76,3,0.024,1
193.27,1.98,3,0.057,1
37.21,2.69,2,0.364,3
33.1,13.32,3,0.066,0
30.69,1.36,1,0.026,2
204.59,2.11,3,0.057,1
32.75,0.72,1,0.045,2
202.43,2.05,1,0.051,1
34.12,3.32,2,0.349,3
187.37,2.8,2,0.016,1
36.37,3.55,2,0.349,3
46.09,12.0,2,0.103,0
33.8,0.91,1,0.02,2
27.95,10.71,3,0.129,0
21.89,1.25,2,0.021,2
206.01,2.96,1,0.057,1
126.38,2.29,2,0.043,1
227.21,1.77,3,0.062,1
32.51,10.61,2,0.068,0
25.78,0.61,2,0.0,2
219.62,2.38,3,0.055,1
40.82,10.94,3,0.107,0
54.16,3.34,3,0.259,3
251.52,2.14,2,0.012,1
190.49,0.87,2,0.023,1
32.24,14.18,4,0.139,0
207.25,2.54,2,0.053,1
23.16,11.36,4,0.073,0
183.97,1.67,3,0.024,1
33.8,9.68,4,0.091,0
203.35,1.68,2,0.014,1
233.93,2.58,2,0.032,1
35.93,2.02,1,0.041,2
23.94,1.28,1,0.041,2
30.33,11.83,3,0.085,0
44.15,16.1,4,0.103,0
182.47,1.9,2,0.055,1
190.81,2.33,2,0.085,1
245.31,2.67,2,0.063,1
20.09,0.6,1,0.0,2
32.73,0.9,1,0.014,2
18.24,1.22,1,0.013,2
54.72,2.58,2,0.325,3
35.76,12.86,5,0.107,0
39.0,9.06,4,0.165,0
43.59,12.71,1,0.051,0
42.98,2.5,3,0.319,3
58.03,3.17,1,0.377,3
24.27,2.1,1,0.029,2
34.88,11.63,3,0.088,0
183.59,1.18,1,0.047,1
32.86,9.86,4,0.147,0
45.02,3.55,2,0.387,3
44.74,5.9,3,0.096,0
220.1,1.98,2,0.039,1
32.12,14.26,2,0.11,0
170.48,1.8,2,0.064,1
192.79,1.39,3,0.004,1
58.22,2.05,2,0.476,3
46.99,2.78,2,0.417,3
197.75,2.23,2,0.029,1
246.68,2.52,1,0.041,1
39.51,11.94,3,0.06,0
216.11,1.31,1,0.0,1
44.94,1.93,3,0.235,3
41.23,3.28,3,0.466,3
210.82,1.62,2,0.041,1
186.33,2.73,1,0.106,1
205.5,2.91,1,0.091,1
28.18,16.65,2,0.101,0
46.71,3.17,3,0.316,3
42.13,2.58,2,0.337,3
49.4,2.48,2,0.426,3
225.43,1.27,3,0.008,1
24.63,1.03,1,0.045,2
39.15,10.3,4,0.098,0
20.6,9.15,2,0.092,0
39.32,16.03,3,0.079,0
28.39,12.05,3,0.176,0
202.42,1.79,2,0.037,1
218.62,1.95,2,0.068,1
24.7,0.37,1,0.033,2
38.14,8.24,3,0.089,0
37.42,5.99,3,0.143,0
20.61,9.22,2,0.143,0
44.93,11.83,3,0.088,0
52.34,2.45,2,0.406,3
40.5,3.41,3,0.335,3
22.06,0.34,1,0.019,2
53.63,3.57,2,0.348,3
27.56,1.13,1,0.04,2
28.35,11.3,4,0.088,0
187.07,2.13,2,0.0,1
33.74,1.33,1,0.025,2
49.41,13.85,2,0.093,0
48.86,2.41,2,0.398,3
206.16,1.3,2,0.022,1
45.85,2.97,2,0.504,3
43.63,3.04,2,0.456,3
207.72,0.77,3,0.007,1
47.51,3.67,1,0.491,3
34.73,10.32,3,0.046,0
66.09,3.67,1,0.401,3
197.46,0.86,4,0.066,1
199.39,2.53,2,0.066,1
224.28,1.69,2,0.0,1
19.15,1.21,1,0.019,2
48.37,6.95,2,0.083,0
45.26,2.82,2,0.424,3
141.94,1.37,1,0.076,1
205.36,1.57,2,0.033,1
213.75,2.32,2,0.034,1
24.02,1.45,1,0.036,2
66.18,3.23,2,0.441,3
44.34,11.15,2,0.141,0
35.17,2.44,2,0.384,3
38.77,3.86,2,0.297,3
29.99,14.09,3,0.102,0
32.61,14.86,3,0.078,0
37.99,12.52,3,0.108,0
248.47,2.01,2,0.026,1
25.3,7.28,4,0.081,0
32.58,10.43,4,0.071,0
41.55,2.33,2,0.282,3
32.47,16.91,3,0.146,0
217.34,2.02,1,0.107,1
31.13,2.88,2,0.449,3
24.77,9.06,3,0.0,0
229.83,2.26,1,0.037,1
47.41,13.46,3,0.099,0
29.18,8.5,3,0.026,0
24.11,10.31,4,0.105,0
35.21,2.92,2,0.333,3
214.62,2.29,1,0.095,1
28.81,18.28,2,0.136,0
43.22,2.9,2,0.398,3
214.05,1.6,2,0.027,1
36.4,3.52,2,0.4,3
45.9,12.06,4,0.024,0
30.04,13.13,3,0.123,0
46.79,3.02,3,0.337,3
15.08,1.49,1,0.005,2
57.64,2.7,3,0.29,3
220.08,1.75,2,0.065,1
218.41,1.83,1,0.083,1
20.98,0.93,1,0.047,2
36.02,11.31,4,0.086,0
29.17,1.56,2,0.323,3
218.96,2.02,1,0.052,1
28.6,1.67,1,0.019,2
43.89,8.83,2,0.052,0
213.55,2.19,1,0.0,1
184.99,2.5,2,0.058,1
26.66,3.97,2,0.291,3
41.14,11.64,4,0.126,0
33.35,1.34,1,0.032,2
33.66,9.31,4,0.127,0
26.55,0.82,1,0.015,2
216.23,2.03,2,0.056,1
163.36,1.61,2,0.068,1
186.89,1.72,1,0.035,1
25.52,7.73,3,0.112,0
186.17,2.01,3,0.019,1
221.03,2.03,2,0.065,1
22.21,1.0,1,0.006,2
41.62,9.64,3,0.083,0
62.67,4.12,2,0.388,3
44.74,1.48,2,0.211,3
222.47,1.39,2,0.063,1
33.62,12.58,2,0.086,0
51.1,3.32,2,0.326,3
165.35,1.97,2,0.005,1
26.48,0.88,1,0.016,2
56.96,2.06,2,0.251,3
240.38,1.56,2,0.116,1
204.54,2.89,2,0.063,1
180.58,2.81,2,0.08,1
42.49,11.41,3,0.138,0
30.13,9.87,3,0.102,0
48.56,10.74,2,0.096,0
217.1,3.13,1,0.089,1
52.44,10.94,3,0.025,0
54.12,2.75,2,0.335,3
22.27,3.04,1,0.375,3
107.81,1.53,3,0.045,1
30.1,1.36,1,0.033,2
169.99,1.99,2,0.08,1
30.67,0.52,1,0.001,2
33.74,12.22,3,0.161,0
21.41,1.9,1,0.022,2
33.67,13.74,2,0.16,0
31.25,0.99,1,0.006,2
242.03,1.59,2,0.087,1
19.88,15.04,4,0.128,0
27.48,0.62,1,0.022,2
150.45,1.81,2,0.051,1
38.11,15.21,2,0.077,0
52.74,4.26,2,0.263,3
27.52,11.87,2,0.129,0
203.2,1.47,1,0.082,1
30.96,3.32,3,0.273,3
48.6,3.27,2,0.432,3
48.99,11.11,2,0.0,0
37.97,13.59,4,0.068,0
35.81,2.95,2,0.377,3
23.76,1.18,1,0.02,2
225.69,1.34,2,0.023,1
36.95,6.98,4,0.081,0
24.27,12.72,3,0.103,0
54.64,1.1,2,0.398,3
37.87,16.58,3,0.112,0
47.29,15.35,3,0.097,0
32.31,15.1,2,0.116,0
282.4,2.59,1,0.048,1
26.01,1.46,1,0.032,2
222.91,1.84,3,0.132,1
17.95,0.45,1,0.027,2
35.74,2.72,2,0.374,3
46.75,2.19,2,0.2,3
42.14,2.64,1,0.513,3
41.33,9.78,4,0.093,0
228.17,1.9,2,0.039,1
35.55,1.64,1,0.079,2
29.05,0.79,1,0.026,2
26.62,1.4,1,0.009,2
205.09,2.57,3,0.083,1
116.18,2.34,2,0.0,1
164.33,2.24,3,0.05,1
15.34,1.46,1,0.036,2
187.44,2.13,1,0.052,1
28.16,15.35,1,0.049,0
44.0,11.59,2,0.096,0
34.32,9.21,4,0.103,0
27.29,0.95,1,0.0,2
216.87,2.89,3,0.101,1
23.61,1.33,1,0.02,2
184.7,1.87,1,0.06,1
187.69,2.94,1,0.033,1
27.36,0.97,1,0.01,2
49.14,2.64,1,0.381,3
48.77,7.0,1,0.143,2
21.56,0.96,1,0.0,2
207.64,1.27,2,0.069,1
42.8,14.63,2,0.096,0
181.76,1.81,2,0.041,1
33.95,10.45,4,0.067,0
31.46,0.84,1,0.04,2
225.72,1.19,3,0.075,1
34.78,1.03,1,0.063,2
43.9,2.73,2,0.428,3
39.55,3.41,2,0.176,3
242.09,1.13,3,0.091,1
41.99,2.92,2,0.346,3
38.02,15.07,2,0.179,0
34.88,12.1,3,0.034,0
21.38,0.82,2,0.02,2
171.32,2.09,3,0.055,1
40.1,13.22,4,0.148,0
39.78,2.89,2,0.34,3
251.81,2.4,2,0.03,1
31.65,6.69,2,0.096,2
33.68,8.88,2,0.093,0
41.62,14.63,2,0.126,0
61.99,1.83,2,0.351,3
202.71,1.27,3,0.038,1
29.23,15.94,3,0.07,0
